분절,record_id,seg_idx,인코더,참조,rho
14,100,14,enc3,x_clean,0.12187302816500452
14,100,14,enc3,bw,0.6231804188329811
14,100,14,enc3,ma,0.65639615152548
14,100,14,enc3,em,0.4414060366396129
14,100,14,enc4,x_clean,0.6492875942388037
14,100,14,enc4,bw,0.05957821984798585
14,100,14,enc4,ma,0.12518195657683862
14,100,14,enc4,em,0.10780109359718668
14,100,14,enc5,x_clean,-0.06530631021893668
14,100,14,enc5,bw,-0.11795455093546596
14,100,14,enc5,ma,-0.24648157060832873
14,100,14,enc5,em,-0.34766795865913286
14,100,14,enc6,x_clean,0.07819041705384705
14,100,14,enc6,bw,0.36465880624973324
14,100,14,enc6,ma,0.20940055442218158
14,100,14,enc6,em,0.3391378476058988
14,100,14,enc7,x_clean,0.051530244625249584
14,100,14,enc7,bw,0.7977525683396898
14,100,14,enc7,ma,0.166065855502471
14,100,14,enc7,em,0.39696230092681833
14,100,14,enc8,x_clean,0.08231462300107337
14,100,14,enc8,bw,0.47188929833431154
14,100,14,enc8,ma,-0.02199747926167725
14,100,14,enc8,em,0.2541828775863427
15,100,15,enc1,x_clean,0.030376702707364846
15,100,15,enc1,bw,-0.11697881022839128
15,100,15,enc1,ma,0.5835403084800586
15,100,15,enc1,em,0.07989859798801714
15,100,15,enc2,x_clean,-0.063951760030566
15,100,15,enc2,bw,0.6015243926169143
15,100,15,enc2,ma,0.6344196610893369
15,100,15,enc2,em,0.10862473074643665
15,100,15,enc3,x_clean,-0.06132710408640119
15,100,15,enc3,bw,0.6825284829900844
15,100,15,enc3,ma,0.8136663345954805
15,100,15,enc3,em,0.04468941587410732
15,100,15,enc4,x_clean,0.6855819142734324
15,100,15,enc4,bw,0.13452090410759407
15,100,15,enc4,ma,0.2176263439501405
15,100,15,enc4,em,0.0595800920355905
15,100,15,enc5,x_clean,-0.05881226099777122
15,100,15,enc5,bw,-0.08016021095010324
15,100,15,enc5,ma,-0.30880136938829245
15,100,15,enc5,em,-0.006246640058926645
15,100,15,enc6,x_clean,0.019364954906048577
15,100,15,enc6,bw,0.5626416117422129
15,100,15,enc6,ma,0.269345951972749
15,100,15,enc6,em,0.2954511228272891
15,100,15,enc7,x_clean,-0.004582189171872186
15,100,15,enc7,bw,-0.20482321678373813
15,100,15,enc7,ma,-0.13185872311328775
15,100,15,enc7,em,0.3169920798558389
15,100,15,enc8,x_clean,0.042153519747629466
15,100,15,enc8,bw,0.254298100280941
15,100,15,enc8,ma,-0.11936842940792973
15,100,15,enc8,em,0.32370008774834097
16,100,16,enc1,x_clean,0.11485530536011121
16,100,16,enc1,bw,0.29263265735604416
16,100,16,enc1,ma,0.03688343432374915
16,100,16,enc1,em,0.16968593446137126
16,100,16,enc2,x_clean,0.028556471999556306
16,100,16,enc2,bw,0.5285158327636972
16,100,16,enc2,ma,0.6626846232747513
16,100,16,enc2,em,0.5386516959923329
16,100,16,enc3,x_clean,0.05597654931434132
16,100,16,enc3,bw,0.7467089978601851
16,100,16,enc3,ma,0.8422020977625234
16,100,16,enc3,em,0.5744232352407709
16,100,16,enc4,x_clean,0.6307678874303687
16,100,16,enc4,bw,-0.24814233009457468
16,100,16,enc4,ma,-0.14522012871482431
16,100,16,enc4,em,0.1340592032907468
16,100,16,enc5,x_clean,0.07541931617491125
16,100,16,enc5,bw,0.09082457623291405
16,100,16,enc5,ma,-0.189563495501153
16,100,16,enc5,em,-0.22601664587688247
16,100,16,enc6,x_clean,0.04909350102285168
16,100,16,enc6,bw,0.19985494212968996
16,100,16,enc6,ma,0.35401582936638304
16,100,16,enc6,em,0.4599665714740225
16,100,16,enc7,x_clean,0.10362610975769017
16,100,16,enc7,bw,0.32064594387774503
16,100,16,enc7,ma,0.2073436297533114
16,100,16,enc7,em,0.05581454547522545
16,100,16,enc8,x_clean,0.14961259432097493
16,100,16,enc8,bw,0.1637214695372196
16,100,16,enc8,ma,0.009498688164808273
16,100,16,enc8,em,-0.20941444206615598
17,100,17,enc1,x_clean,0.15842210329577208
17,100,17,enc1,bw,-0.2256858040865522
17,100,17,enc1,ma,-0.3174370753918318
17,100,17,enc1,em,-0.3136189219906784
17,100,17,enc2,x_clean,0.028572315839143263
17,100,17,enc2,bw,0.47053672481605996
17,100,17,enc2,ma,0.27811848979617554
17,100,17,enc2,em,0.4995368953965092
17,100,17,enc3,x_clean,0.004513779516376893
17,100,17,enc3,bw,0.8794496973573589
